Date : 2023-06-22 21:33:30
Directory : /Users/kostya/FlutterDev/Apps/to_do_yandex
Total : 72 files,  4003 codes, 178 comments, 428 blanks, all 4609 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios/Runner.xcworkspace/xcshareddata                                                                                       |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                     |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| l10n                                                                                                                      |          2 |         32 |          0 |          1 |         33 |
| lib                                                                                                                       |         34 |      3,404 |         31 |        334 |      3,769 |
| lib (Files)                                                                                                               |          1 |         28 |          1 |          3 |         32 |
| lib/data                                                                                                                  |         11 |      1,984 |          6 |        232 |      2,222 |
| lib/data/api                                                                                                              |          7 |      1,843 |          6 |        206 |      2,055 |
| lib/data/api (Files)                                                                                                      |          2 |         78 |          0 |         22 |        100 |
| lib/data/api/model                                                                                                        |          3 |      1,577 |          6 |        165 |      1,748 |
| lib/data/api/model/local                                                                                                  |          2 |      1,530 |          6 |        160 |      1,696 |
| lib/data/api/model/remote                                                                                                 |          1 |         47 |          0 |          5 |         52 |
| lib/data/api/service                                                                                                      |          2 |        188 |          0 |         19 |        207 |
| lib/data/mapper                                                                                                           |          2 |         74 |          0 |          9 |         83 |
| lib/data/repository                                                                                                       |          2 |         67 |          0 |         17 |         84 |
| lib/data/repository/local                                                                                                 |          1 |         36 |          0 |          9 |         45 |
| lib/data/repository/remote                                                                                                |          1 |         31 |          0 |          8 |         39 |
| lib/domain                                                                                                                |          6 |        251 |         13 |         38 |        302 |
| lib/domain/bloc                                                                                                           |          3 |        198 |         12 |         27 |        237 |
| lib/domain/bloc/todo_tasks_bloc                                                                                           |          3 |        198 |         12 |         27 |        237 |
| lib/domain/models                                                                                                         |          1 |         34 |          1 |          8 |         43 |
| lib/domain/repository                                                                                                     |          2 |         19 |          0 |          3 |         22 |
| lib/domain/repository/local                                                                                               |          1 |         10 |          0 |          1 |         11 |
| lib/domain/repository/remote                                                                                              |          1 |          9 |          0 |          2 |         11 |
| lib/internal                                                                                                              |          3 |         34 |          0 |          7 |         41 |
| lib/internal/dependencies                                                                                                 |          3 |         34 |          0 |          7 |         41 |
| lib/internal/dependencies (Files)                                                                                         |          1 |         16 |          0 |          3 |         19 |
| lib/internal/dependencies/local                                                                                           |          1 |          9 |          0 |          2 |         11 |
| lib/internal/dependencies/remote                                                                                          |          1 |          9 |          0 |          2 |         11 |
| lib/presentation                                                                                                          |         10 |        911 |         10 |         40 |        961 |
| lib/presentation/screens                                                                                                  |         10 |        911 |         10 |         40 |        961 |
| lib/presentation/screens/main_screen                                                                                      |          6 |        534 |         10 |         24 |        568 |
| lib/presentation/screens/main_screen (Files)                                                                              |          1 |         94 |          0 |          4 |         98 |
| lib/presentation/screens/main_screen/widgets                                                                              |          5 |        440 |         10 |         20 |        470 |
| lib/presentation/screens/task_screen                                                                                      |          4 |        377 |          0 |         16 |        393 |
| lib/presentation/screens/task_screen (Files)                                                                              |          1 |        183 |          0 |          9 |        192 |
| lib/presentation/screens/task_screen/widgets                                                                              |          3 |        194 |          0 |          7 |        201 |
| lib/utils                                                                                                                 |          3 |        196 |          1 |         14 |        211 |
| test                                                                                                                      |          1 |         14 |         10 |          7 |         31 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/kostya/FlutterDev/Apps/to_do_yandex/README.md                                                                      | Markdown   |         14 |          0 |         12 |         26 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/analysis_options.yaml                                                          | YAML       |          3 |         23 |          4 |         30 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/build.gradle                                                       | Gradle     |         54 |          6 |         13 |         73 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/debug/AndroidManifest.xml                                      | XML        |          3 |          4 |          1 |          8 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/AndroidManifest.xml                                       | XML        |         27 |          6 |          1 |         34 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/drawable-v21/launch_background.xml                    | XML        |          4 |          7 |          2 |         13 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/drawable/launch_background.xml                        | XML        |          4 |          7 |          2 |         13 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/values-night/styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/main/res/values/styles.xml                                     | XML        |          9 |          9 |          1 |         19 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/app/src/profile/AndroidManifest.xml                                    | XML        |          3 |          4 |          1 |          8 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/build.gradle                                                           | Gradle     |         27 |          0 |          5 |         32 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/gradle.properties                                                      | Properties |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/gradle/wrapper/gradle-wrapper.properties                               | Properties |          5 |          0 |          1 |          6 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/android/settings.gradle                                                        | Gradle     |          8 |          0 |          4 |         12 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/done.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/eye.svg                                                           | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/eye_cross.svg                                                     | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/high_priority.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/info_outlined.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/low_priority.svg                                                  | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/assets/icons/rubbish.svg                                                       | XML        |          3 |          0 |          1 |          4 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Flutter/AppFrameworkInfo.plist                                             | XML        |         26 |          0 |          1 |         27 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | XML        |          8 |          0 |          1 |          9 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                   | XML        |          8 |          0 |          1 |          9 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/AppDelegate.swift                                                   | Swift      |         12 |          0 |          2 |         14 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                    | JSON       |        122 |          0 |          1 |        123 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                  | JSON       |         23 |          0 |          1 |         24 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                      | Markdown   |          3 |          0 |          2 |          5 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Base.lproj/LaunchScreen.storyboard                                  | XML        |         36 |          1 |          1 |         38 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Base.lproj/Main.storyboard                                          | XML        |         25 |          1 |          1 |         27 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Info.plist                                                          | XML        |         51 |          0 |          1 |         52 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/Runner/Runner-Bridging-Header.h                                            | C++        |          1 |          0 |          1 |          2 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/ios/RunnerTests/RunnerTests.swift                                              | Swift      |          7 |          2 |          4 |         13 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/l10n.yaml                                                                      | YAML       |          3 |          0 |          0 |          3 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/l10n/app_en.arb                                                                | JSON       |         16 |          0 |          1 |         17 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/l10n/app_ru.arb                                                                | JSON       |         16 |          0 |          0 |         16 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/local_api_util.dart                                               | Dart       |         37 |          0 |         10 |         47 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/local/api_local_todo_task.dart                              | Dart       |         22 |          0 |          4 |         26 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/local/api_local_todo_task.g.dart                            | Dart       |      1,508 |          6 |        156 |      1,670 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/model/remote/api_remote_todo_task.dart                            | Dart       |         47 |          0 |          5 |         52 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/remote_api_util.dart                                              | Dart       |         41 |          0 |         12 |         53 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/service/local_todo_service.dart                                   | Dart       |         62 |          0 |          9 |         71 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/api/service/remote_todo_service.dart                                  | Dart       |        126 |          0 |         10 |        136 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/mapper/local_todo_task_mapper.dart                                    | Dart       |         44 |          0 |          5 |         49 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/mapper/remote_todo_task_mapper.dart                                   | Dart       |         30 |          0 |          4 |         34 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/repository/local/todo_data_local_repository.dart                      | Dart       |         36 |          0 |          9 |         45 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/data/repository/remote/todo_data_remote_repository.dart                    | Dart       |         31 |          0 |          8 |         39 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_bloc.dart                           | Dart       |        165 |         12 |         13 |        190 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_event.dart                          | Dart       |         22 |          0 |          8 |         30 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/bloc/todo_tasks_bloc/todo_tasks_state.dart                          | Dart       |         11 |          0 |          6 |         17 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/models/todo_task.dart                                               | Dart       |         34 |          1 |          8 |         43 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/repository/local/to_do_tasks_local_repository.dart                  | Dart       |         10 |          0 |          1 |         11 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/domain/repository/remote/to_do_tasks_remote_repository.dart                | Dart       |          9 |          0 |          2 |         11 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/local/api_local_module.dart                          | Dart       |          9 |          0 |          2 |         11 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/remote/api_remote_module.dart                        | Dart       |          9 |          0 |          2 |         11 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/internal/dependencies/repository_module.dart                               | Dart       |         16 |          0 |          3 |         19 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/main.dart                                                                  | Dart       |         28 |          1 |          3 |         32 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/main_screen.dart                          | Dart       |         94 |          0 |          4 |         98 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/add_task_line.dart                | Dart       |         84 |          0 |          6 |         90 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/sliver_appbar_delegate.dart       | Dart       |        104 |          7 |          5 |        116 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/swipe_container.dart              | Dart       |         95 |          3 |          3 |        101 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/to_do_checkbox.dart               | Dart       |         70 |          0 |          4 |         74 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/main_screen/widgets/to_do_element.dart                | Dart       |         87 |          0 |          2 |         89 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/task_screen.dart                          | Dart       |        183 |          0 |          9 |        192 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/custom_appbar.dart                | Dart       |         78 |          0 |          2 |         80 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/custom_task_screen_drop_menu.dart | Dart       |         68 |          0 |          3 |         71 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/presentation/screens/task_screen/widgets/delete_line.dart                  | Dart       |         48 |          0 |          2 |         50 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/constants.dart                                                       | Dart       |         56 |          0 |          9 |         65 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/dark_theme.dart                                                      | Dart       |         70 |          1 |          3 |         74 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/lib/utils/light_theme.dart                                                     | Dart       |         70 |          0 |          2 |         72 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/pubspec.yaml                                                                   | YAML       |         34 |         58 |         13 |        105 |
| /Users/kostya/FlutterDev/Apps/to_do_yandex/test/widget_test.dart                                                          | Dart       |         14 |         10 |          7 |         31 |
| Total                                                                                                                     |            |      4,003 |        178 |        428 |      4,609 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
